;color;director_name;duration;gross;genres;movie_title;title_year;language;country;budget;imdb_score;actors;movie_facebook_likes;action;adventure;biography;comedy;crime;drama;fantasy;history;music;musical;mystery;romance;sci-fi;sport;thriller;war;western
0;color;martin scorsese;240;116866727.0;biography|comedy|crime|drama;the wolf of wall street;2013;english;usa;100000000.0;8.2;leonardo dicaprio,matthew mcconaughey,jon favreau;138000;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
1;color;shane black;195;408992272.0;action|adventure|sci-fi;iron man 3;2013;english;usa;200000000.0;7.2;robert downey jr.,jon favreau,don cheadle;95000;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2;color;quentin tarantino;187;54116191.0;crime|drama|mystery|thriller|western;the hateful eight;2015;english;usa;44000000.0;7.9;craig stark,jennifer jason leigh,zoë bell;114000;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1
3;color;kenneth lonergan;186;46495.0;drama;margaret;2011;english;usa;14000000.0;6.5;matt damon,kieran culkin,john gallagher jr.;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
4;color;peter jackson;186;258355354.0;adventure|fantasy;the hobbit: the desolation of smaug;2013;english;usa;225000000.0;7.9;aidan turner,adam brown,james nesbitt;83000;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;color;peter jackson;-50;303001229.0;adventure|fantasy;the hobbit: an unexpected journey;2012;english;usa;180000000.0;7.9;aidan turner,adam brown,james nesbitt;166000;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
7;color;joss whedon;173;623279547.0;action|adventure|sci-fi;the avengers;2012;english;usa;220000000.0;8.1;chris hemsworth,robert downey jr.,scarlett johansson;123000;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
8;color;joss whedon;173;623279547.0;action|adventure|sci-fi;the avengers;2012;english;usa;220000000.0;8.1;chris hemsworth,robert downey jr.,scarlett johansson;123000;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
10;color;null;158;102515793.0;crime|drama|mystery|thriller;the girl with the dragon tattoo;2011;english;usa;90000000.0;7.8;robin wright,goran visnjic,joely richardson;54000;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
12;color;christopher nolan;169;187991439.0;adventure|drama|sci-fi;interstellar;2014;english;usa;165000000.0;8.6;matthew mcconaughey,anne hathaway,mackenzie foy;349000;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
13;color;f. gary gray;167;161029270.0;biography|crime|drama|history|music;straight outta compton;2015;english;usa;28000000.0;7.9;aldis hodge,neil brown jr.,r. marcos taylor;76000;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0
15;color;quentin tarantino;580;162804648.0;drama|western;django unchained;2012;english;usa;100000000.0;8.5;leonardo dicaprio,christoph waltz,ato essandoh;199000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
16;color;michael bay;165;245428137.0;action|adventure|sci-fi;transformers: age of extinction;2014;english;usa;210000000.0;5.7;bingbing li,sophia myles,kelsey grammer;56000;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
18;color;peter jackson;164;255108370.0;adventure|fantasy;the hobbit: the battle of the five armies;2014;english;new zealand;250000000.0;7.5;aidan turner,adam brown,james nesbitt;65000;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
19;color;tom hooper;158;148775460.0;drama|musical|romance;les misérables;2012;english;usa;61000000.0;7.6;hugh jackman,eddie redmayne,anne hathaway;144000;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
20;color;tom hooper;158;148775460.0;drama|musical|romance;les misérables;2012;english;usa;61000000.0;7.6;hugh jackman,eddie redmayne,anne hathaway;144000;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
21;color;kathryn bigelow;157;95720716.0;drama|history|thriller;zero dark thirty;2012;english;usa;40000000.0;7.4;jennifer ehle,harold perrineau,parker sawyers;39000;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0
22;color;ridley scott;156;105219735.0;action|adventure|drama|history;robin hood;2010;english;usa;200000000.0;6.7;mark addy,william hurt,scott grimes;17000;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
24;color;michael bay;154;352358779.0;action|adventure|sci-fi;transformers: dark of the moon;2011;english;usa;195000000.0;6.3;glenn morshower,lester speight,kevin dunn;46000;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
25;color;denis villeneuve;153;60962878.0;crime|drama|mystery|thriller;prisoners;2013;english;usa;46000000.0;8.1;hugh jackman,jake gyllenhaal,dylan minnette;86000;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
26;color;marc webb;153;262030663.0;action|adventure|fantasy;the amazing spider-man;2012;english;usa;230000000.0;7.0;emma stone,andrew garfield,chris zylka;56000;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
27;color;nan;151;228430993.0;adventure|drama|sci-fi;the martian;2015;english;usa;108000000.0;8.1;matt damon,donald glover,benedict wong;153000;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
28;color;ridley scott;150;65007045.0;action|adventure|drama;exodus: gods and kings;2014;english;uk;140000000.0;6.1;christian bale,maría valverde,ben mendelsohn;51000;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
29;color;ridley scott;150;65007045.0;action|adventure|drama;exodus: gods and kings;2014;english;uk;140000000.0;6.1;christian bale,maría valverde,ben mendelsohn;51000;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
31;color;gore verbinski;650;89289910.0;action|adventure|western;the lone ranger;2013;english;usa;215000000.0;6.5;johnny depp,ruth wilson,tom wilkinson;48000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
32;color;david fincher;149;167735396.0;crime|drama|mystery|thriller;gone girl;2014;english;usa;61000000.0;8.1;patrick fugit,sela ward,emily ratajkowski;146000;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
33;color;bryan singer;149;233914986.0;action|adventure|fantasy|sci-fi|thriller;x-men: days of future past;2014;english;united states;200000000.0;8.0;jennifer lawrence,peter dinklage,hugh jackman;82000;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0
34;color;christopher nolan;148;292568851.0;action|adventure|sci-fi|thriller;inception;2010;english;usa;160000000.0;8.8;leonardo dicaprio,tom hardy,joseph gordon-levitt;175000;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
35;color;paul thomas anderson;148;8093318.0;comedy|crime|drama|mystery|romance;inherent vice;2014;english;usa;20000000.0;6.7;martin dew,katherine waterston,serena scott thomas;18000;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0
36;color;sam mendes;148;200074175.0;action|adventure|thriller;spectre;2015;english;uk;245000000.0;6.8;christoph waltz,rory kinnear,stephanie sigman;85000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
38;color;michael patrick king;146;95328937.0;comedy|drama|romance;sex and the city 2;2010;english;usa;100000000.0;4.3;chris noth,liza minnelli,kristin davis;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
39;color;tate taylor;146;169705587.0;drama;the help;2011;english;usa;25000000.0;8.1;emma stone,bryce dallas howard,mike vogel;75000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
40;color;francis lawrence;146;424645577.0;adventure|sci-fi|thriller;the hunger games: catching fire;2013;english;usa;130000000.0;7.6;jennifer lawrence,josh hutcherson,sandra ellis lafferty;82000;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
41;black and white;steven spielberg;146;79883359.0;drama|war;war horse;2011;english;usa;66000000.0;7.2;jeremy irvine,benedict cumberbatch,eddie marsan;28000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
42;color;michael bay;144;52822418.0;action|drama|thriller|war;13 hours;2016;english;usa;50000000.0;7.4;toby stephens,james badge dale,david costabile;44000;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
43;color;guillaume canet;144;41229.0;crime|drama|thriller;blood ties;2013;english;france;25500000.0;6.5;mila kunis,lili taylor,billy crudup;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0
44;color;paul thomas anderson;144;16377274.0;drama;the master;2012;english;usa;32000000.0;7.1;mike howard,jeffrey w. jenkins,bruce goodchild;27000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
45;color;bryan singer;144;154985087.0;action|adventure|sci-fi;x-men: apocalypse;2016;english;usa;178000000.0;7.3;jennifer lawrence,michael fassbender,tye sheridan;54000;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
46;color;adam mckay;143;2175312.0;comedy;anchorman 2: the legend continues;2013;english;usa;50000000.0;6.3;harrison ford,will ferrell,steve carell;41000;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
47;color;zack snyder;143;291021565.0;action|adventure|fantasy|sci-fi;man of steel;2013;english;usa;225000000.0;7.2;henry cavill,christopher meloni,harry lennix;118000;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
48;color;sam mendes;143;304360277.0;action|adventure|thriller;skyfall;2012;english;uk;200000000.0;7.8;albert finney,helen mccrory,rory kinnear;80000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
49;color;sam mendes;143;304360277.0;action|adventure|thriller;skyfall;2012;english;uk;200000000.0;7.8;albert finney,helen mccrory,rory kinnear;80000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
50;color;baz luhrmann;143;144812796.0;drama|romance;the great gatsby;2013;english;australia;105000000.0;7.3;leonardo dicaprio,elizabeth debicki,steve bisley;115000;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
51;color;baz luhrmann;143;144812796.0;drama|romance;the great gatsby;2013;english;australia;105000000.0;7.3;leonardo dicaprio,elizabeth debicki,steve bisley;115000;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
52;color;steven spielberg;142;72306065.0;drama|history|thriller;bridge of spies;2015;english;usa;40000000.0;7.6;tom hanks,mark rylance,amy ryan;55000;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0
53;color;marc webb;142;202853933.0;action|adventure|fantasy|sci-fi;the amazing spider-man 2;2014;english;usa;200000000.0;6.7;emma stone,andrew garfield,b.j. novak;41000;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
55;color;joss whedon;141;458991599.0;action|adventure|sci-fi;avengers: age of ultron;2015;english;usa;250000000.0;7.5;chris hemsworth,robert downey jr.,scarlett johansson;118000;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
56;color;justin chadwick;141;8324748.0;biography|drama|history;mandela: long walk to freedom;2013;english;uk;35000000.0;7.1;terry pheto,fana mokoena,tony kgoroge;13000;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0
58;color;david dobkin;141;47105085.0;crime|drama;the judge;2014;english;usa;50000000.0;7.4;robert downey jr.,robert duvall,leighton meester;47000;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
59;color;ryan murphy;140;80574010.0;drama|romance;eat pray love;2010;english;usa;60000000.0;5.7;james franco,julia roberts,billy crudup;26000;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
60;color;james wan;140;350034110.0;action|crime|thriller;furious 7;2015;english;usa;190000000.0;7.2;jason statham,paul walker,vin diesel;94000;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
61;color;derek cianfrance;140;21383298.0;crime|drama|thriller;the place beyond the pines;2012;english;usa;15000000.0;7.3;ryan gosling,ben mendelsohn,angelo anthony pizza;47000;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0
62;color;gavin o'connor;140;13651662.0;drama|sport;warrior;2011;english;usa;25000000.0;8.2;tom hardy,frank grillo,kevin dunn;77000;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
64;color;gary ross;139;20389967.0;action|biography|drama|history|war;free state of jones;2016;english;usa;50000000.0;6.7;matthew mcconaughey,donald watkins,jessica collins;10000;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0
65;color;tate taylor;139;30513940.0;biography|drama|music;get on up;2014;english;usa;30000000.0;6.9;tika sumpter,josh hopkins,aunjanue ellis;11000;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
69;color;darren aronofsky;138;101160529.0;action|adventure|drama;noah;2014;english;usa;125000000.0;5.8;anthony hopkins,emma watson,logan lerman;71000;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
70;color;martin scorsese;138;127968405.0;mystery|thriller;shutter island;2010;english;usa;80000000.0;8.1;leonardo dicaprio,joseph sikora,nellie sciutto;53000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
71;color;ridley scott;138;16969390.0;crime|drama|thriller;the counselor;2013;english;usa;25000000.0;5.3;michael fassbender,brad pitt,goran visnjic;24000;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0
73;color;daniel espinosa;137;1206135.0;crime|drama|thriller;child 44;205;english;czech republic;50000000.0;6.4;tom hardy,fares fares,michael nardone;18000;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0
77;color;angelina jolie pitt;137;115603980.0;biography|drama|sport|war;unbroken;2014;english;usa;65000000.0;-1.2;finn wittrock,jack o'connell,alex russell;35000;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0
78;color;angelina jolie pitt;137;115603980.0;biography|drama|sport|war;unbroken;2014;english;usa;65000000.0;7.2;finn wittrock,jack o'connell,alex russell;35000;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0
80;color;anthony russo;136;259746958.0;action|adventure|sci-fi;captain america: the winter soldier;2014;english;usa;170000000.0;7.8;scarlett johansson,chris evans,hayley atwell;55000;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
81;color;rob marshall;136;241063875.0;action|adventure|fantasy;pirates of the caribbean: on stranger tides;2011;english;usa;250000000.0;6.7;johnny depp,sam claflin,stephen graham;58000;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
82;color;adam shankman;136;38509342.0;comedy|drama|musical|romance;rock of ages;2012;english;usa;75000000.0;5.9;james martin kelly,shane hartline,celina beach;33000;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0
84;color;tony gilroy;135;113165635.0;action|adventure|thriller;the bourne legacy;2012;english;usa;125000000.0;6.7;jeremy renner,scott glenn,stacy keach;31000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
85;color;steve mcqueen;134;56667870.0;biography|drama|history;12 years a slave;2013;english;usa;20000000.0;8.1;quvenzhané wallis,scoot mcnairy,taran killam;83000;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0
86;color;paul greengrass;134;107100855.0;biography|drama|thriller;captain phillips;2013;english;usa;55000000.0;7.9;tom hanks,chris mulkey,michael chernus;65000;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
87;color;david ayer;134;85707116.0;action|drama|war;fury;2014;english;usa;68000000.0;7.6;brad pitt,logan lerman,jim parrack;82000;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
88;color;clint eastwood;5;47034272.0;biography|drama|music|musical;jersey boys;2014;english;usa;40000000.0;6.9;johnny cannizzaro,steve schirripa,scott vance;16000;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0
